Family,Genus,Infrageneric Level I,Infrageneric Level II,Infrageneric Level III,Infrageneric Level IV,Species,Common Name
,,,,,,schrenkiana ssp. tianschanica,Tianshan spruce
,,,,,,sikangensis,
,,,,,,sitchensis,Sitka spruce
,,,,,,smithiana,Morinda spruce
,,,,,,spinulosa,Sikkim spruce
,,,,,,torano,Tigertail spruce
,,,,,,wilsonii,Wilson's spruce
,Pinus,,,,,,Pine
,,Subgenus Pinus,,,,,
,,,Section Pinus,,,,
,,,,Subsection Pinus,,,
,,,,,,densata,Sikang pine
,,,,,,densiflora,Japanese red pine
,,,,,,densiflora var. ussuriensis,Ussurian red pine
,,,,,,densiflora var. zhangwuensis,Zhangwu red pine
,,,,,,× densithunbergii,Japanese hybrid pine
,,,,,,henryi,Henry's pine
,,,,,,hwangshanensis,Huangshan pine
,,,,,,kesiya,Khasi pine
,,,,,,latteri,Tenasserim pine
,,,,,,luchuensis,Luchu pine
,,,,,,massoniana,Chinese red pine
,,,,,,merkusii,Sumatran pine
,,,,,,mugo,Dwarf mountain pine
,,,,,,× neilreichiana,
,,,,,,nigra,Austrian pine
,,,,,,nigra ssp. dalmatica,Dalmatian pine
,,,,,,nigra ssp. laricio,Corsican pine
,,,,,,nigra ssp. pallasiana,Crimean pine
,,,,,,nigra ssp. salzmannii,Spanish pine
,,,,,,resinosa,American red pine
,,,,,, rhaetica,Rhaetic pine
,,,,,,× rotundata,European mountain pine
,,,,,,sylvestris,Scotch pine
,,,,,,tabuliformis,Chinese red pine
,,,,,,tabuliformis var. mukdensis,North Korean pine
,,,,,,tabuliformis var. umbraculifera,
,,,,,,taiwanensis,Taiwan red pine
,,,,,,thunbergii,Japanese black pine
,,,,,,tropicalis,Tropical pine
,,,,,,uncinata,Swiss mountain pine
,,,,,,yunnanensis,Yunnan pine
,,,,Subsection Pinaster,,,
,,,,,,brutia,Turkish pine
,,,,,,brutia var. eldarica,Calabrian pine
,,,,,,canariensis,Canary Island pine
,,,,,,halepensis,Aleppo pine
,,,,,,heldreichii,Bosnian pine
,,,,,,heldreichii var. leucodermis,Whitebark Bosnian pine
,,,,,,pinaster,Maritime pine
,,,,,,pinea,Italian stone pine
,,,,,,roxburghii,Chir pine
,,,Section Trifoliae,,,,
,,,,Subsection Attenuatae,,,
,,,,,,attenuata,Knobcone pine
,,,,,,× attenuradiata,KMX pine
,,,,,,muricata,Bishop pine
,,,,,,radiata,Monterey pine
,,,,,,radiata var. binata,Guadelupe Island pine
,,,,Subsection Australes,,,
,,,,,,caribaea,Caribbean pine
,,,,,,cubensis,Cuban pine
,,,,,,echinata,Shortleaf pine
,,,,,,elliottii,Slash pine
,,,,,,georginae,Amado's pine
,,,,,,glabra,Spruce pine
,,,,,,greggii,Gregg pine
,,,,,,herrerae,Herrera pine
,,,,,,jaliscana,Jalisco pine
,,,,,,lawsonii,Lawson's pine
,,,,,,leiophylla,Smoothleaf pine
,,,,,,leiophylla var. chihuahuana,Chihuahua pine
,,,,,,lumholtzii,Lumholtz weeping pine
,,,,,,luzmariae,Three-needle eggcone pine
,,,,,,occidentalis,Hispaniola pine
,,,,,,oocarpa,Mexican eggcone pine
,,,,,,palustris,Longleaf pine
,,,,,,patula,Mexican weeping pine
,,,,,,praetermissa,Mexican scrub pine
,,,,,,pringlei,Pringle's pine
,,,,,,pungens,Table mountain pine
,,,,,,rigida,Pitch pine
,,,,,,serotina,Pond pine
,,,,,,taeda,Loblolly pine
,,,,,,tecunumanii,Mayan pine
,,,,,,teocote,Aztec pine
,,,,,,vallartensis,Puerto Vallarta pine
,,,,Subsection Contortae,,,
,,,,,,banksiana,Jack pine
,,,,,,clausa,Ocala sand pine
,,,,,,clausa var. immugenata,Choctawhatchee sand pine
,,,,,,contorta,Shore pine
,,,,,,contorta ssp. contorta var. bolanderi,Mendocino Sands shore pine
,,,,,,contorta ssp. latifolia,Lodgepole pine
,,,,,,contorta ssp. murrayana,Sierra lodgepole pine
,,,,,,× murraybanksiana,Murraybanks pine
,,,,,,virginiana,Virginia pine
,,,,Subsection Ponderosae,,,
,,,,,,arizonica,Arizona pine
,,,,,,brachyptera,Southwestern yellow pine
