species-name,common-name,family-name,genus-name,infrageneric-level-I,infrageneric-level-II,infrageneric-level-III
occidentalis,Hispaniola pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
oocarpa,Mexican eggcone pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
palustris,Longleaf pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
patula,Mexican weeping pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
praetermissa,Mexican scrub pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
pringlei,Pringle's pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
pungens,Table mountain pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
rigida,Pitch pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
serotina,Pond pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
taeda,Loblolly pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
tecunumanii,Mayan pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
teocote,Aztec pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
vallartensis,Puerto Vallarta pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Australes
banksiana,Jack pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
clausa,Ocala sand pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
clausa var. immugenata,Choctawhatchee sand pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
contorta,Shore pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
contorta ssp. contorta var. bolanderi,Mendocino Sands shore pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
contorta ssp. latifolia,Lodgepole pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
contorta ssp. murrayana,Sierra lodgepole pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
× murraybanksiana,Murraybanks pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
virginiana,Virginia pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Contortae
arizonica,Arizona pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
brachyptera,Southwestern yellow pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
cooperi,Cooper's pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
devoniana,Michoacan pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
douglasiana,Douglas pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
durangensis,Durango pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
engelmanii,Apache pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
hartwegii,Mexican mountain pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
maximinoi,Thinleaf pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
montezumae,Montezuma pine,Pinaceae,Pinus,Subgenus Pinus,Section Trifoliae,Subsection Ponderosae
